epoch,accuracy,loss,val_accuracy,val_loss
0,0.5791166424751282,0.6884888410568237,0.6983718872070312,0.680700957775116
1,0.6710977554321289,0.6593530774116516,0.8860325813293457,0.6112989187240601
2,0.9307461380958557,0.4191203713417053,0.9631533622741699,0.2846847474575043
3,0.9594768285751343,0.289397656917572,0.9631533622741699,0.27664855122566223
4,0.9620497226715088,0.28343749046325684,0.9648671746253967,0.28156644105911255
5,0.963121771812439,0.2776877284049988,0.9640102982521057,0.2759184241294861
6,0.963121771812439,0.2765495181083679,0.9700085520744324,0.2668006718158722
7,0.9659090638160706,0.27401942014694214,0.9691516757011414,0.2661456763744354
8,0.968267560005188,0.2720180153846741,0.9682947993278503,0.2646927833557129
9,0.9674099683761597,0.27167385816574097,0.9665809869766235,0.2653822600841522
10,0.9676243662834167,0.2694834768772125,0.9708654880523682,0.26629912853240967
11,0.9699828624725342,0.2662990093231201,0.9700085520744324,0.2590116858482361
12,0.9706260561943054,0.2659780979156494,0.973436176776886,0.25674062967300415
13,0.968910813331604,0.26485195755958557,0.9717223644256592,0.257670134305954
14,0.9704116582870483,0.26383110880851746,0.9708654880523682,0.25369635224342346
15,0.9725557565689087,0.2618098855018616,0.973436176776886,0.2527192234992981
16,0.9712693095207214,0.260455846786499,0.973436176776886,0.25288328528404236
17,0.9729845523834229,0.26010003685951233,0.9725792407989502,0.2516966760158539
18,0.9744853973388672,0.2586391568183899,0.9777206778526306,0.2506789565086365
19,0.973842203617096,0.25786060094833374,0.974293053150177,0.2626413106918335
20,0.9727701544761658,0.25596198439598083,0.9777206778526306,0.2544654905796051
21,0.9759863018989563,0.25456225872039795,0.9820051193237305,0.24996687471866608
22,0.9734134078025818,0.2543710768222809,0.9777206778526306,0.24861621856689453
23,0.9762006998062134,0.2532413899898529,0.9802913665771484,0.24656862020492554
24,0.9768438935279846,0.25172141194343567,0.9785775542259216,0.2475905567407608
25,0.974699854850769,0.25109541416168213,0.9785775542259216,0.2476607859134674
26,0.9774871468544006,0.24983589351177216,0.9785775542259216,0.24739816784858704
27,0.9764150977134705,0.24847383797168732,0.9760068655014038,0.2554391920566559
28,0.9777015447616577,0.24702484905719757,0.9794344305992126,0.2490125596523285
29,0.979202389717102,0.24639073014259338,0.9802913665771484,0.24750368297100067
