epoch,accuracy,loss,val_accuracy,val_loss
0,0.9701972603797913,0.1481655240058899,0.9845758080482483,0.06647215783596039
1,0.9824185371398926,0.06485636532306671,0.9854327440261841,0.05436766520142555
2,0.9817752838134766,0.05642443522810936,0.9871465563774109,0.044968899339437485
3,0.9824185371398926,0.05322011932730675,0.9845758080482483,0.04519132152199745
4,0.9832761287689209,0.05100741609930992,0.9862896203994751,0.03977110981941223
5,0.9837049841880798,0.048674605786800385,0.9871465563774109,0.04255175217986107
6,0.9822041392326355,0.046348221600055695,0.9871465563774109,0.0417293980717659
7,0.9834905862808228,0.045952145010232925,0.9871465563774109,0.03682033345103264
8,0.9832761287689209,0.045523934066295624,0.9880034327507019,0.03682556375861168
9,0.9832761287689209,0.04463529959321022,0.9880034327507019,0.03767933323979378
10,0.9837049841880798,0.044784996658563614,0.9888603091239929,0.03266036510467529
11,0.9834905862808228,0.043207913637161255,0.9871465563774109,0.0358373299241066
12,0.9849914312362671,0.042768653482198715,0.9871465563774109,0.0354580394923687
13,0.9845626354217529,0.04235673323273659,0.9862896203994751,0.03259703889489174
14,0.984133780002594,0.041632264852523804,0.9888603091239929,0.03178739920258522
15,0.9845626354217529,0.04110284149646759,0.9862896203994751,0.034025125205516815
16,0.9845626354217529,0.04088496416807175,0.9880034327507019,0.03500354662537575
17,0.9843481779098511,0.03952545300126076,0.9888603091239929,0.03422299772500992
18,0.9843481779098511,0.04043962061405182,0.9897172451019287,0.03228457272052765
19,0.98477703332901,0.03946812078356743,0.9880034327507019,0.03368045389652252
20,0.9845626354217529,0.03897121548652649,0.9871465563774109,0.03352808579802513
21,0.9849914312362671,0.039689186960458755,0.9888603091239929,0.03211202099919319
22,0.9849914312362671,0.03897499293088913,0.9880034327507019,0.034313078969717026
23,0.9843481779098511,0.038320016115903854,0.9888603091239929,0.034275732934474945
24,0.9852058291435242,0.03914237022399902,0.9888603091239929,0.03183012828230858
25,0.9854202270507812,0.039343878626823425,0.9880034327507019,0.03135300427675247
26,0.9856346249580383,0.03761286288499832,0.9880034327507019,0.03254448249936104
27,0.9849914312362671,0.038729093968868256,0.9914309978485107,0.034060798585414886
28,0.9852058291435242,0.036845482885837555,0.9897172451019287,0.03526632487773895
29,0.9849914312362671,0.0374273881316185,0.9897172451019287,0.03354034200310707
30,0.9858490824699402,0.03762198984622955,0.9888603091239929,0.02979923225939274
31,0.9856346249580383,0.03748434782028198,0.9905741214752197,0.03073994256556034
32,0.9849914312362671,0.03746425732970238,0.9880034327507019,0.03256545215845108
33,0.9862778782844543,0.03642350807785988,0.9888603091239929,0.03214766085147858
34,0.9852058291435242,0.035635922104120255,0.9897172451019287,0.031572625041007996
35,0.98477703332901,0.036581262946128845,0.9897172451019287,0.03222986310720444
36,0.9858490824699402,0.0358348973095417,0.9888603091239929,0.028978528454899788
37,0.9856346249580383,0.03491203114390373,0.9897172451019287,0.029315808787941933
38,0.9860634803771973,0.03711715713143349,0.9905741214752197,0.029481248930096626
39,0.9862778782844543,0.034671179950237274,0.9897172451019287,0.030322985723614693
40,0.9858490824699402,0.03596917539834976,0.9888603091239929,0.029994448646903038
41,0.9854202270507812,0.03599841147661209,0.9888603091239929,0.029607780277729034
42,0.9852058291435242,0.03609611839056015,0.9888603091239929,0.029047461226582527
